,LATITUDE,LONGITUDE,DATE,TIME,YEAR,ACCIDENT LANE,District,INTERSECTION,VICTIM,VICTIM AGE,VEHTYPE,DRIVACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,Cause,Neighbourh
242,43.727843,-79.417888,2013-04-16T04:00:00.000Z,1450,2013,Major Arterial,North York,Intersection,Pedestrian,65 to 69, , ,Yes, , , ,Yes,Unknown,Bedford Park-Nortown (39)
243,43.659644,-79.382388,2013-05-04T04:00:00.000Z,1450,2013,Major Arterial,Toronto and East York,Mid-Block,Motorcycle Driver,40 to 44,Motorcycle,Improper Lane Change,Yes, , ,Yes, ,Improper Lane Change,Bay Street Corridor (76)
244,43.656932,-79.364993,2016-07-28T04:00:00.000Z,1450,2016,Minor Arterial,Toronto and East York,Intersection,Pedestrian,80 to 84, , ,Yes, , , ,Yes,Unknown,Regent Park (72)
245,43.670245,-79.49319,2012-10-05T04:00:00.000Z,1455,2012,Major Arterial,Etobicoke York,Intersection,Motorcycle Driver,35 to 39,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Rockcliffe-Smythe (111)
246,43.792645,-79.35469,2009-12-08T05:00:00.000Z,1456,2009,Major Arterial,North York,Intersection,Passenger,85 to 89,Other, , , ,Yes, , ,Unknown,Don Valley Village (47)
247,43.722369,-79.30168499999999,2013-12-24T05:00:00.000Z,1500,2013,Major Arterial,Scarborough,Mid-Block,Pedestrian,70 to 74, , ,Yes, ,Yes, , ,Unknown,Clairlea-Birchmount (120)
248,43.702281,-79.452075,2018-06-11T04:00:00.000Z,1500,2018,Major Arterial,North York,Intersection,Pedestrian,50 to 54, , ,Yes, ,Yes, , ,Speeding,Briar Hill-Belgravia (108)
249,43.759545,-79.59529,2010-03-09T05:00:00.000Z,1504,2010,Major Arterial,Etobicoke York,Mid-Block,Driver,45 to 49,"Automobile, Station Wagon",Lost control, , ,Yes, ,Yes,Lost control,Mount Olive-Silverstone-Jamestown (2)
250,43.64926,-79.484439,2017-07-18T04:00:00.000Z,1504,2017,Major Arterial,Toronto and East York,Intersection,Motorcycle Driver,70 to 74,Motorcycle,Driving Properly, , , ,Yes,Yes,Unknown,High Park-Swansea (87)
251,43.728645,-79.41439,2012-12-03T05:00:00.000Z,1507,2012,Collector,North York,Intersection,Pedestrian,85 to 89,Other, ,Yes, ,Yes, , ,Unknown,Lawrence Park North (105)
252,43.719008,-79.508113,2018-04-13T04:00:00.000Z,1512,2018,Major Arterial,North York,Intersection,Pedestrian,40 to 44, , ,Yes, ,Yes, , ,Speeding,Downsview-Roding-CFB (26)
253,43.723372,-79.302089,2014-10-28T04:00:00.000Z,1515,2014,Major Arterial,Scarborough,Intersection,Cyclist,70 to 74,Bicycle, , ,Yes,Yes, , ,Unknown,Clairlea-Birchmount (120)
254,43.621562,-79.500606,2015-02-13T05:00:00.000Z,1516,2015,Minor Arterial,Etobicoke York,Intersection,Passenger,75 to 79, , , , , , , ,Unknown,Mimico (includes Humber Bay Shores) (17)
255,43.626245000000004,-79.52879,2013-07-22T04:00:00.000Z,1519,2013,Major Arterial,Etobicoke York,Intersection,Motorcycle Driver,20 to 24,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Islington-City Centre West (14)
256,43.736845,-79.34499,2012-06-08T04:00:00.000Z,1520,2012,Major Arterial,North York,Intersection,Motorcycle Driver,40 to 44,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Banbury-Don Mills (42)
257,43.727903999999995,-79.488223,2018-01-15T05:00:00.000Z,1520,2018,Local,North York,Mid-Block,Pedestrian,5 to 9, , ,Yes, ,Yes, , ,Snow,Downsview-Roding-CFB (26)
258,43.796965,-79.424747,2013-11-24T05:00:00.000Z,1521,2013,Major Arterial,North York,Intersection,Pedestrian,40 to 44, , ,Yes, ,Yes, , ,Unknown,Newtonbrook West (36)
259,43.687686,-79.27088499999999,2017-12-21T05:00:00.000Z,1528,2017,Major Arterial,Scarborough,Intersection,Pedestrian,40 to 44, , ,Yes, ,Yes, , ,Alcohol & Speeding,Birchcliffe-Cliffside (122)
